"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLACBUS","198507","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198508","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198509","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198510","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198511","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198512","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198513","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198601","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198602","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198603","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198604","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198605","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198606","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198607","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198608","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198609","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198610","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198611","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198612","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198613","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198701","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198702","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198703","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198704","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198705","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198706","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198707","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198708","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198709","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198710","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198711","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
