"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCCBUS","199312","17.357","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199313","117.302","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199401","16.776","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199402","13.146","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199403","9.681","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199404","8.936","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199405","6.569","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199406","7.819","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199407","8.954","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199408","7.697","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199409","5.655","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199410","6.629","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199411","10.62","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199412","15.636","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199413","118.119","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199501","12.816","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199502","11.516","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199503","8.621","1","Coal Consumed by the Commercial Sector","Trillion Btu"
"CLCCBUS","199504","9.028","1","Coal Consumed by the Commercial Sector","Trillion Btu"
